SubID,aex,artInterest,LockDown_days,experience_visit_again,experience_meaning,experience_beautifulness,experience_goodness,condition,age,see_art,per_Ext,per_A,per_Ce,per_ES,per_OE,block,posMood,negMood,lone,STAI,SAT,wellbeing
R_sXygftYL7fWUubf,Female,5,42,1,2,2,4,non_art,24,"Yes, I saw art",2.5,3,6.5,4,4.5,post,5,3,3.6666666666666665,4.666666666666667,2.4,3.5
R_1f7QEOVaMFOARNW,Female,7,42,6,5,7,7,art,59,"Yes, I saw art",5.5,5,6.5,4,6.5,pre,5,3,2.1666666666666665,5.666666666666667,5,6.25
R_1f7QEOVaMFOARNW,Female,7,42,6,5,7,7,art,59,"Yes, I saw art",5.5,5,6.5,4,6.5,post,4,4,1.8333333333333333,3.1666666666666665,5.6,5
R_1Q3q6YmYQzRZfA1,Female,4,50,6,4,6,6,non_art,30,"Yes, I saw art",2.5,4,5,3,4.5,pre,5,4,3.5,5.666666666666667,2.8,3.5
R_1Q3q6YmYQzRZfA1,Female,4,50,6,4,6,6,non_art,30,"Yes, I saw art",2.5,4,5,3,4.5,post,5,3,3,2.8333333333333335,2.8,3.75
R_2b0IB0t0GhXLKnb,Female,4,50,6,4,5,4,non_art,61,"Yes, I saw art",4.5,4,5,5,5.5,pre,6,1,3.1666666666666665,2.5,5,4.75
R_2b0IB0t0GhXLKnb,Female,4,50,6,4,5,4,non_art,61,"Yes, I saw art",4.5,4,5,5,5.5,post,7,2,3.5,2.5,6,5
R_2yr1siKdUO9xP4v,Female,5,40,5,5,7,7,art,33,"Yes, I saw art",3.5,4,6.5,4.5,4,pre,4,4,2.5,3.6666666666666665,6.2,4.75
R_2yr1siKdUO9xP4v,Female,5,40,5,5,7,7,art,33,"Yes, I saw art",3.5,4,6.5,4.5,4,post,6,3,2.3333333333333335,3.3333333333333335,6.2,5.75
R_0NXV1ckpTEotGZH,Female,4,52,5,6,6,5,non_art,61,"Yes, I saw art",5,7,6,6,5.5,pre,6,2,2.1666666666666665,1.5,6,4.5
R_0NXV1ckpTEotGZH,Female,4,52,5,6,6,5,non_art,61,"Yes, I saw art",5,7,6,6,5.5,post,6,1,1.8333333333333333,1.5,6,6
R_1pKB8PFuQFWfjBL,Male,6,50,4,5,5,5,non_art,31,"Yes, I saw art",5.5,5.5,5.5,6,6.5,pre,5,3,2.8333333333333335,3.3333333333333335,5.2,5
R_1pKB8PFuQFWfjBL,Male,6,50,4,5,5,5,non_art,31,"Yes, I saw art",5.5,5.5,5.5,6,6.5,post,5,3,2.6666666666666665,2.5,5.2,4.75
R_1ozjrn2YkZMGGte,Female,6,35,3,6,6,7,non_art,25,"Yes, I saw art",5.5,5.5,6,4,6,pre,5,2,4.166666666666667,3,4.4,4.25
